path,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50
train/n02979186/n02979186_9036.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_11957.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_9715.jpeg,n02979186,n02979186,n03417042,n03000684
train/n02979186/n02979186_21736.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/ILSVRC2012_val_00046953.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_10568.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_2745.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_3529.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_10756.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_7058.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_12419.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_27479.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2733.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_23069.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_2467.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_3293.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_22638.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_21779.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_8017.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10095.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_6725.jpeg,n02979186,n02979186,n02102040,n03394916
train/n02979186/n02979186_22439.jpeg,n02979186,n02979186,n03888257,n03417042
train/n02979186/n02979186_16477.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_8537.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_3113.jpeg,n02979186,n01440764,n02979186,n02979186
train/n02979186/n02979186_10546.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_16559.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_16253.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_6335.jpeg,n02979186,n02979186,n03425413,n03445777
train/n02979186/n02979186_4665.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_14793.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10289.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_947.jpeg,n02979186,n02979186,n02102040,n03888257
train/n02979186/n02979186_1783.jpeg,n02979186,n02979186,n03445777,n02979186
train/n02979186/n02979186_25427.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/n02979186_5779.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_9155.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_11524.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_27643.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_12008.jpeg,n02979186,n02979186,n03028079,n03888257
train/n02979186/n02979186_9858.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_11976.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_9914.jpeg,n02979186,n03425413,n03425413,n03000684
train/n02979186/n02979186_7166.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2563.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_293.jpeg,n02979186,n02979186,n03028079,n03888257
train/n02979186/n02979186_569.jpeg,n02979186,n02979186,n03445777,n01440764
train/n02979186/n02979186_6046.jpeg,n02979186,n02979186,n03394916,n02979186
train/n02979186/n02979186_17757.jpeg,n02979186,n02979186,n03425413,n02979186
train/n02979186/n02979186_16277.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_8227.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_4313.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_1148.jpeg,n02979186,n02979186,n03000684,n03394916
train/n02979186/n02979186_4266.jpeg,n02979186,n02979186,n01440764,n02979186
train/n02979186/n02979186_9873.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/n02979186_1408.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_6203.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_16933.jpeg,n02979186,n03425413,n02979186,n02979186
train/n02979186/n02979186_16825.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3104.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_16667.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_9394.jpeg,n02979186,n02979186,n03000684,n03394916
train/n02979186/n02979186_12049.jpeg,n02979186,n02979186,n03445777,n03000684
train/n02979186/n02979186_20224.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/ILSVRC2012_val_00047974.jpeg,n02979186,n02979186,n03394916,n03445777
train/n02979186/n02979186_2965.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_22164.jpeg,n02979186,n02979186,n02102040,n03028079
train/n02979186/ILSVRC2012_val_00016648.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_12236.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3556.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10993.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_529.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_14496.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_1823.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10715.jpeg,n02979186,n02979186,n03000684,n01440764
train/n02979186/n02979186_20937.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_5353.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_15213.jpeg,n02979186,n02979186,n01440764,n03394916
train/n02979186/ILSVRC2012_val_00037988.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_23733.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_4704.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_23516.jpeg,n02979186,n02979186,n03445777,n02979186
train/n02979186/n02979186_3603.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_3926.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_2083.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_9688.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_19444.jpeg,n02979186,n02979186,n03028079,n03394916
train/n02979186/n02979186_15169.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_3009.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_24027.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2163.jpeg,n02979186,n02102040,n03394916,n02979186
train/n02979186/n02979186_9339.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_21318.jpeg,n02979186,n02979186,n03888257,n02979186
train/n02979186/n02979186_15154.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_10706.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_734.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_9863.jpeg,n02979186,n02979186,n03888257,n02102040
train/n02979186/n02979186_27494.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_11839.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_27347.jpeg,n02979186,n02979186,n03425413,n02979186
train/n02979186/n02979186_5346.jpeg,n02979186,n02979186,n02102040,n02102040
train/n02979186/n02979186_15096.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_6899.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_9449.jpeg,n02979186,n02102040,n02979186,n02979186
train/n02979186/n02979186_15747.jpeg,n02979186,n02979186,n03000684,n02979186
train/n02979186/n02979186_4059.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_2558.jpeg,n03417042,n02979186,n02979186,n02979186
train/n02979186/n02979186_2853.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_6616.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_25977.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_9567.jpeg,n02979186,n02979186,n02979186,n03417042
train/n02979186/n02979186_14575.jpeg,n02979186,n02979186,n02979186,n03425413
train/n02979186/n02979186_21934.jpeg,n02979186,n02979186,n03028079,n02979186
train/n02979186/n02979186_13443.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_357.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_13055.jpeg,n02979186,n03888257,n02979186,n03417042
train/n02979186/n02979186_5906.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_18283.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_10365.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_4024.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_1658.jpeg,n02979186,n02979186,n03000684,n02979186
train/n02979186/n02979186_8409.jpeg,n02979186,n02979186,n02102040,n02979186
train/n02979186/n02979186_11833.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_1587.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_21298.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_14524.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_9798.jpeg,n02979186,n01440764,n02979186,n03394916
train/n02979186/n02979186_9587.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_7505.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_287.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_14357.jpeg,n02979186,n02979186,n03425413,n02979186
train/n02979186/n02979186_5424.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_20198.jpeg,n02979186,n02979186,n02979186,n03000684
train/n02979186/ILSVRC2012_val_00017775.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_678.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_8736.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_23514.jpeg,n02979186,n02979186,n02979186,n03394916
train/n02979186/n02979186_10313.jpeg,n02979186,n02979186,n02979186,n03445777
train/n02979186/n02979186_2597.jpeg,n02979186,n02979186,n02102040,n02979186
train/n02979186/n02979186_3579.jpeg,n02979186,n02979186,n02979186,n02979186
train/n02979186/n02979186_4404.jpeg,n02979186,n02979186,n02979186,n03028079
train/n02979186/n02979186_5027.jpeg,n02979186,n02979186,n02979186,n02102040
train/n02979186/n02979186_18114.jpeg,n02979186,n02979186,n02979186,n01440764
train/n02979186/n02979186_11656.jpeg,n02979186,n02979186,n02979186,n03888257
train/n02979186/n02979186_9717.jpeg,n02979186,n02979186,n02979186,n03417042
