pct_noise,imagewoof,size,epochs,accuracy
1,0,128,5,0.844586
1,0,128,20,0.907771
1,0,128,80,0.918217
1,0,128,200,0.923567
1,0,192,5,0.847898
1,0,192,20,0.919490
1,0,192,80,0.926624
1,0,192,200,0.933503
1,0,256,5,0.861656
1,0,256,20,0.923822
1,0,256,80,0.938089
1,0,256,200,0.936051
1,1,128,5,0.708068
1,1,128,20,0.845508
1,1,128,80,0.859252
1,1,128,200,0.857216
1,1,192,5,0.728430
1,1,192,20,0.866633
1,1,192,80,0.877577
1,1,192,200,0.868669
1,1,256,5,0.744464
1,1,256,20,0.872487
1,1,256,80,0.888267
1,1,256,200,0.883940
5,0,128,5,0.834395
5,0,128,20,0.895287
5,0,128,80,0.892994
5,0,128,200,0.900382
5,0,192,5,0.841274
5,0,192,20,0.906497
5,0,192,80,0.910064
5,0,192,200,0.910828
5,0,256,5,0.846115
5,0,256,20,0.913885
5,0,256,80,0.915924
5,0,256,200,0.920255
5,1,128,5,0.684653
5,1,128,20,0.835073
5,1,128,80,0.835582
5,1,128,200,0.836345
5,1,192,5,0.706287
5,1,192,20,0.847544
5,1,192,80,0.860779
5,1,192,200,0.848817
5,1,256,5,0.716467
5,1,256,20,0.864851
5,1,256,80,0.865615
5,1,256,200,0.862306
25,0,128,5,0.773503
25,0,128,20,0.849682
25,0,128,80,0.771975
25,0,128,200,0.781401
25,0,192,5,0.785987
25,0,192,20,0.857834
25,0,192,80,0.779108
25,0,192,200,0.784968
25,0,256,5,0.800510
25,0,256,20,0.866497
25,0,256,80,0.821146
25,0,256,200,0.811720
25,1,128,5,0.579282
25,1,128,20,0.758463
25,1,128,80,0.683889
25,1,128,200,0.686180
25,1,192,5,0.591499
25,1,192,20,0.781115
25,1,192,80,0.708577
25,1,192,200,0.719012
25,1,256,5,0.593026
25,1,256,20,0.792059
25,1,256,80,0.722067
25,1,256,200,0.727921
50,0,128,5,0.665987
50,0,128,20,0.793631
50,0,128,80,0.508025
50,0,128,200,0.521783
50,0,192,5,0.675414
50,0,192,20,0.793376
50,0,192,80,0.525096
50,0,192,200,0.537070
50,0,256,5,0.650446
50,0,256,20,0.792102
50,0,256,80,0.539618
50,0,256,200,0.554140
50,1,128,5,0.383558
50,1,128,20,0.601171
50,1,128,80,0.420463
50,1,128,200,0.430644
50,1,192,5,0.373123
50,1,192,20,0.601171
50,1,192,80,0.448715
50,1,192,200,0.446679
50,1,256,5,0.335200
50,1,256,20,0.582591
50,1,256,80,0.437516
50,1,256,200,0.460168
