path,noisy_labels_0,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50,is_valid
train/n02115641/n02115641_3995.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_843.JPEG,n02115641,n02115641,n02105641,n02115641,n02088364,False
train/n02115641/n02115641_2953.JPEG,n02115641,n02115641,n02115641,n02111889,n02099601,False
train/n02115641/n02115641_6458.JPEG,n02115641,n02115641,n02115641,n02093754,n02115641,False
train/n02115641/n02115641_19414.JPEG,n02115641,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_40194.JPEG,n02115641,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_3707.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_22553.JPEG,n02115641,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_11407.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_23085.JPEG,n02115641,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_51958.JPEG,n02115641,n02115641,n02115641,n02087394,n02115641,False
train/n02115641/n02115641_11107.JPEG,n02115641,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_36465.JPEG,n02115641,n02115641,n02115641,n02089973,n02093754,False
train/n02115641/n02115641_12766.JPEG,n02115641,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_2186.JPEG,n02115641,n02115641,n02115641,n02087394,n02088364,False
train/n02115641/n02115641_5178.JPEG,n02115641,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_9584.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_13237.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_23753.JPEG,n02115641,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_2146.JPEG,n02115641,n02115641,n02115641,n02105641,n02089973,False
train/n02115641/n02115641_599.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_13996.JPEG,n02115641,n02115641,n02115641,n02111889,n02115641,False
train/n02115641/n02115641_12496.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_6509.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1628.JPEG,n02115641,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_12808.JPEG,n02115641,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_4585.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_51135.JPEG,n02115641,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_9065.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_45766.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_14826.JPEG,n02115641,n02115641,n02115641,n02088364,n02115641,False
train/n02115641/n02115641_39453.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3206.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9377.JPEG,n02115641,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_13887.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4035.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_27056.JPEG,n02115641,n02115641,n02115641,n02088364,n02111889,False
train/n02115641/n02115641_7047.JPEG,n02115641,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_14117.JPEG,n02115641,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_32506.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_21136.JPEG,n02115641,n02115641,n02115641,n02105641,n02096294,False
train/n02115641/n02115641_27905.JPEG,n02115641,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_25366.JPEG,n02115641,n02115641,n02115641,n02086240,n02115641,False
train/n02115641/n02115641_45968.JPEG,n02115641,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_17884.JPEG,n02115641,n02115641,n02115641,n02105641,n02111889,False
train/n02115641/n02115641_41696.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_6245.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_43853.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_11539.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4836.JPEG,n02115641,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_2528.JPEG,n02115641,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_12834.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_30553.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_17417.JPEG,n02115641,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_20495.JPEG,n02115641,n02115641,n02115641,n02111889,n02115641,False
train/n02115641/n02115641_6473.JPEG,n02115641,n02115641,n02115641,n02093754,n02115641,False
train/n02115641/n02115641_12627.JPEG,n02115641,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_23133.JPEG,n02115641,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_1486.JPEG,n02115641,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_4755.JPEG,n02115641,n02089973,n02115641,n02093754,n02115641,False
train/n02115641/ILSVRC2012_val_00019728.JPEG,n02115641,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_3093.JPEG,n02115641,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_2776.JPEG,n02115641,n02115641,n02115641,n02088364,n02115641,False
train/n02115641/n02115641_3736.JPEG,n02115641,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_6707.JPEG,n02115641,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_9248.JPEG,n02115641,n02115641,n02115641,n02088364,n02111889,False
train/n02115641/n02115641_1674.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_49596.JPEG,n02115641,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_534.JPEG,n02115641,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_39884.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_6697.JPEG,n02115641,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_6844.JPEG,n02115641,n02115641,n02115641,n02111889,n02115641,False
train/n02115641/n02115641_4256.JPEG,n02115641,n02115641,n02115641,n02087394,n02115641,False
train/n02115641/n02115641_368.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3109.JPEG,n02115641,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_1428.JPEG,n02115641,n02115641,n02111889,n02115641,n02115641,False
train/n02115641/n02115641_27394.JPEG,n02115641,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_12623.JPEG,n02115641,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_1067.JPEG,n02115641,n02115641,n02093754,n02115641,n02115641,False
train/n02115641/n02115641_12873.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_16058.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_27298.JPEG,n02115641,n02115641,n02115641,n02087394,n02096294,False
train/n02115641/n02115641_9147.JPEG,n02115641,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2079.JPEG,n02115641,n02115641,n02115641,n02115641,n02089973,False
